exercise_id,Title,BodyPart,primary_muscle,secondary_muscles_str,movement_pattern
iliotibial-band-smr,Iliotibial band SMR,Abductors,abductors,,push
adductor-smr,Adductor SMR,Adductors,adductors,,push
lying-bent-leg-groin,Lying Bent Leg Groin,Adductors,adductors,,push
lateral-box-jump,Lateral box jump,Adductors,adductors,,push
thigh-adductor,Thigh adductor,Adductors,adductors,,push
thigh-abductor,Thigh abductor,Abductors,abductors,,push
standing-hip-circles,Standing Hip Circles,Abductors,abductors,,push
groiners,Groiners,Adductors,adductors,,push
fire-hydrant,Fire Hydrant,Abductors,abductors,,push
windmills,Windmills,Abductors,abductors,,push
side-leg-raises,Side Leg Raises,Adductors,adductors,,push
lateral-hop,Lateral hop,Adductors,adductors,,push
monster-walk,Monster Walk,Abductors,abductors,,push
side-lying-groin-stretch,Side Lying Groin Stretch,Adductors,adductors,,push
it-band-and-glute-stretch,IT Band and Glute Stretch,Abductors,abductors,,push
single-leg-lying-cross-over-stretch,Single-leg lying cross-over stretch,Abductors,abductors,,push
carioca-quick-step,Carioca quick step,Adductors,adductors,,push
standing-hip-circle,Standing hip circle,Abductors,abductors,,push
lateral-cone-hop,Lateral cone hop,Adductors,adductors,,push
side-to-side-adductor-stretch,Side-To-Side Adductor Stretch,Adductors,adductors,,push
dynamic-pigeon-stretch,Dynamic pigeon stretch,Abductors,abductors,,push
cross-over-jack,Cross-over jack,Abductors,abductors,,push
traveling-thigh-killa,Traveling thigh killa,Abductors,abductors,,push
fyr-thigh-killa,FYR Thigh Killa,Abductors,abductors,,push
hm-straddle-stretch,HM Straddle Stretch,Abductors,abductors,,push
hm-right-leg-swing,HM Right Leg Swing,Abductors,abductors,,push
hm-right-side-kick,HM Right Side-Kick,Abductors,abductors,,push
hm-frog-stretch,HM Frog Stretch,Abductors,abductors,,push
hm-kick-out,HM Kick-Out,Abductors,abductors,,push
hm-left-leg-swing,HM Left Leg Swing,Adductors,adductors,,push
uns-foam-roll-adductor,UNS Foam Roll Adductor,Adductors,adductors,,push
metaburn-groiner,MetaBurn Groiner,Abductors,abductors,,push
side-lying-leg-adduction-scissor,Side-lying leg adduction scissor,Adductors,adductors,,push
groin-and-back-stretch,Groin and Back Stretch,Adductors,adductors,,push
adductor-groin,Adductor/Groin,Adductors,adductors,,push
incline-dumbbell-biceps-curl,Incline dumbbell biceps curl,Biceps,biceps,triceps;shoulders;forearms,push
banded-biceps-curl-in-squat-position,Banded biceps curl in squat position,Biceps,biceps,glutes;hamstrings;core,squat
banded-hammer-press-gethin-variation,Banded Hammer Press - Gethin Variation,Biceps,biceps,triceps;shoulders,push
band-standing-concentration-curl,Band standing concentration curl,Biceps,biceps,forearms,push
brachialis-smr,Brachialis SMR,Biceps,biceps,,push
wide-grip-barbell-curl,Wide-grip barbell curl,Biceps,biceps,forearms,push
ez-bar-spider-curl,EZ-bar spider curl,Biceps,biceps,triceps;shoulders;forearms,push
barbell-curl,Barbell Curl,Biceps,biceps,forearms,push
close-grip-ez-bar-curl,Close-grip EZ-bar curl,Biceps,biceps,forearms,push
preacher-curl,Preacher Curl,Biceps,biceps,forearms,push
barbell-curls-lying-against-an-incline,Barbell Curls Lying Against An Incline,Biceps,biceps,,push
seated-close-grip-concentration-barbell-curl,Seated Close-Grip Concentration Barbell Curl,Biceps,biceps,forearms,push
close-grip-barbell-curl,Close-grip barbell curl,Biceps,biceps,forearms,push
drag-curl,Drag curl,Biceps,biceps,forearms,push
reverse-grip-barbell-curl,Reverse-grip barbell curl,Biceps,biceps,forearms,push
lying-high-bench-barbell-curl,Lying High Bench Barbell Curl,Biceps,biceps,triceps;shoulders;forearms,push
seated-wide-grip-curl-to-close-grip-curl,Seated wide-grip curl to close-grip curl,Biceps,biceps,forearms,push
seated-straigh-bar-curl-superset,Seated Straigh-Bar Curl Superset,Biceps,biceps,forearms,push
dave-draper-forehead-curl,Dave Draper Forehead Curl,Biceps,biceps,forearms,push
reverse-grip-ez-bar-curl,Reverse-grip EZ-bar curl,Biceps,biceps,forearms,push
ez-bar-spider-curl-gethin-variation,EZ-Bar Spider Curl - Gethin Variation,Biceps,biceps,triceps;shoulders;forearms,push
barbell-curl,Barbell curl-,Biceps,biceps,forearms,push
paul-carter-barbell-curl,Paul Carter Barbell Curl,Biceps,biceps,forearms,push
standing-band-biceps-curl,Standing band biceps curl,Biceps,biceps,forearms,push
close-grip-ez-bar-curl-gethin-variation,Close-Grip EZ-Bar Curl - Gethin Variation,Biceps,biceps,forearms,push
seated-barbell-curl,Seated Barbell Curl,Biceps,biceps,forearms,push
am-standing-barbell-curl,AM Standing Barbell Curl,Biceps,biceps,forearms,push
ez-bar-preacher-curl,EZ-bar preacher curl,Biceps,biceps,forearms,push
30-arms-standing-barbell-curl,30 Arms Standing Barbell Curl,Biceps,biceps,forearms,push
30-arms-incline-biceps-curl,30 Arms Incline Biceps Curl,Biceps,biceps,forearms,push
bicep-curls-21s,"Bicep Curls ""21s""",Biceps,biceps,,push
incline-hammer-curls,Incline Hammer Curls,Biceps,biceps,,push
hammer-curls,Hammer Curls,Biceps,biceps,forearms,push
biceps-curl-to-shoulder-press,Biceps curl to shoulder press,Biceps,biceps,triceps;shoulders;forearms,push
concentration-curl,Concentration curl,Biceps,biceps,triceps;shoulders;forearms,push
flexor-incline-dumbbell-curls,Flexor Incline Dumbbell Curls,Biceps,biceps,,push
dumbbell-bicep-curl,Dumbbell Bicep Curl,Biceps,biceps,forearms,push
cross-body-hammer-curl,Cross-body hammer curl,Biceps,biceps,forearms,push
dumbbell-alternate-bicep-curl,Dumbbell Alternate Bicep Curl,Biceps,biceps,forearms,push
single-arm-dumbbell-preacher-curl,Single-arm dumbbell preacher curl,Biceps,biceps,forearms,push
alternate-incline-dumbbell-curl,Alternate Incline Dumbbell Curl,Biceps,biceps,triceps;shoulders;forearms,push
standing-concentration-curl,Standing concentration curl,Biceps,biceps,triceps;shoulders;forearms,push
alternating-incline-dumbbell-biceps-curl,Alternating incline dumbbell biceps curl,Biceps,biceps,triceps;shoulders;forearms,push
alternate-hammer-curl,Alternate Hammer Curl,Biceps,biceps,forearms,push
seated-dumbbell-biceps-curl,Seated dumbbell biceps curl,Biceps,biceps,forearms,push
preacher-hammer-dumbbell-curl,Preacher Hammer Dumbbell Curl,Biceps,biceps,forearms,push
dumbbell-preacher-curl,Dumbbell preacher curl,Biceps,biceps,triceps;shoulders;forearms,push
lying-supine-dumbbell-curl,Lying Supine Dumbbell Curl,Biceps,biceps,forearms,push
standing-dumbbell-reverse-curl,Standing Dumbbell Reverse Curl,Biceps,biceps,forearms,push
palms-out-incline-biceps-curl,Palms-out incline biceps curl,Biceps,biceps,forearms,push
straight-arm-plank-with-biceps-curl,Straight-arm plank with biceps curl,Biceps,biceps,forearms;obliques;lower_back,plank
face-down-incline-dumbbell-biceps-curl,Face-down incline dumbbell biceps curl,Biceps,biceps,triceps;shoulders;forearms,push
seated-dumbbell-inner-biceps-curl,Seated Dumbbell Inner Biceps Curl,Biceps,biceps,forearms,push
standing-inner-biceps-curl,Standing Inner-Biceps Curl,Biceps,biceps,forearms,push
seated-hammer-curl,Seated hammer curl,Biceps,biceps,forearms,push
paul-carter-incline-dumbbell-biceps-curl,Paul Carter Incline Dumbbell Biceps Curl,Biceps,biceps,forearms,push
paul-carter-concentration-curl,Paul Carter Concentration Curl,Biceps,biceps,triceps;shoulders;forearms,push
fyr-dumbbell-curl,FYR Dumbbell Curl,Biceps,biceps,forearms,push
dumbbell-biceps-curl-to-upright-row,Dumbbell biceps curl to upright row,Biceps,biceps,forearms,pull
fyr-dumbbell-hammer-curl,FYR Dumbbell Hammer Curl,Biceps,biceps,forearms,push
dumbbell-overhead-hold-with-single-arm-curl,Dumbbell overhead hold with single-arm curl,Biceps,biceps,triceps;upper_chest;forearms,push
fyr-kneeling-biceps,FYR Kneeling Biceps,Biceps,biceps,forearms,push
lunge-hold-dumbbell-curl,Lunge hold dumbbell curl,Biceps,biceps,glutes;hamstrings;core,squat
fyr-dumbbell-biceps-curl,FYR Dumbbell Biceps Curl,Biceps,biceps,forearms,push
alternating-dumbbell-snatch,Alternating dumbbell snatch,Biceps,biceps,,push
tbs-incline-dumbbell-curl,TBS Incline Dumbbell Curl,Biceps,biceps,forearms,push
tbs-hammer-curl,TBS Hammer Curl,Biceps,biceps,forearms,push
reverse-grip-dumbbell-curl,Reverse-grip dumbbell curl,Biceps,biceps,forearms,push
incline-dumbbell-curl-gethin-variation,Incline Dumbbell Curl - Gethin Variation,Biceps,biceps,forearms,push
hammer-curl,Hammer curl,Biceps,biceps,forearms,push
seated-dumbbell-curl-gethin-variation,Seated Dumbbell Curl - Gethin Variation,Biceps,biceps,triceps;shoulders;forearms,push
dumbbell-hammer-curl-gethin-variation,Dumbbell Hammer Curl - Gethin Variation,Biceps,biceps,forearms,push
single-arm-seated-dumbbell-curl,Single-arm seated dumbbell curl,Biceps,biceps,forearms,push
lying-cable-curl-gethin-variation,Lying Cable Curl - Gethin Variation,Biceps,biceps,forearms,push
dumbbell-biceps-curl,Dumbbell biceps curl,Biceps,biceps,forearms,push
seated-biceps-hammer-curl,Seated Biceps Hammer Curl,Biceps,biceps,forearms,push
hm-alternating-reverse-lunge-with-biceps-curl,HM Alternating Reverse Lunge With Biceps Curl,Biceps,biceps,glutes;hamstrings;core,squat
am-hammer-curls,AM Hammer Curls,Biceps,biceps,forearms,push
am-seated-hammer-curls,AM Seated Hammer Curls,Biceps,biceps,triceps;shoulders;forearms,push
seated-alternating-biceps-curl,Seated alternating biceps curl,Biceps,biceps,forearms,push
alternating-hammer-curl,Alternating hammer curl,Biceps,biceps,forearms,push
alternating-biceps-curl,Alternating biceps curl,Biceps,biceps,forearms,push
holman-slow-biceps-curl,Holman Slow Biceps Curl,Biceps,biceps,forearms,push
holman-biceps-curl-to-chest-punch,Holman Biceps Curl to Chest Punch,Biceps,biceps,forearms,push
holman-right-arm-heavy-biceps-curl,Holman Right Arm Heavy Biceps Curl,Biceps,biceps,forearms,push
holman-left-arm-heavy-biceps-curl,Holman Left Arm Heavy Biceps Curl,Biceps,biceps,forearms,push
holman-alternating-front-lunge-biceps-curl,Holman Alternating Front Lunge Biceps Curl,Biceps,biceps,glutes;hamstrings;core,squat
holman-weighted-double-time-biceps-curl,Holman Weighted Double-Time Biceps Curl,Biceps,biceps,forearms,push
holman-heavy-right-arm-biceps-curl,Holman Heavy Right Arm Biceps Curl,Biceps,biceps,forearms,push
holman-heavy-left-arm-biceps-curl,Holman Heavy Left Arm Biceps Curl,Biceps,biceps,forearms,push
metaburn-dumbbell-drag-curl,MetaBurn Dumbbell Drag Curl,Biceps,biceps,forearms,push
metaburn-hammer-curl-to-overhead-press,MetaBurn Hammer Curl to Overhead Press,Biceps,biceps,triceps;shoulders;upper_chest,push
metaburn-biceps-curl-to-lateral-raise,MetaBurn Biceps Curl To Lateral Raise,Biceps,biceps,forearms,push
fyr2-alternating-dumbbell-curl,FYR2 Alternating Dumbbell Curl,Biceps,biceps,forearms,push
fyr2-pulse-biceps-curl,FYR2 Pulse Biceps Curl,Biceps,biceps,forearms,push
fyr2-seesaw-dumbbell-biceps-curl,FYR2 Seesaw Dumbbell Biceps Curl,Biceps,biceps,forearms,push
fyr2-single-dumbbell-biceps-curl,FYR2 Single-Dumbbell Biceps Curl,Biceps,biceps,forearms,push
fyr2-dumbbell-curl-row-complex,FYR2 Dumbbell Curl-Row Complex,Biceps,biceps,forearms,pull
30-arms-standing-dumbbell-hammer-curl-21s,30 Arms Standing Dumbbell Hammer Curl 21s,Biceps,biceps,forearms,push
30-arms-standing-biceps-curl,30 Arms Standing Biceps Curl,Biceps,biceps,forearms,push
30-arms-standing-alternating-hammer-curl,30 Arms Standing Alternating Hammer Curl,Biceps,biceps,forearms,push
30-arms-standing-alternating-biceps-curl,30 Arms Standing Alternating Biceps Curl,Biceps,biceps,forearms,push
30-arms-single-arm-hammer-preacher-curl,30 Arms Single-Arm Hammer Preacher Curl,Biceps,biceps,forearms,push
30-arms-single-arm-dumbbell-preacher-curl,30 Arms Single-Arm Dumbbell Preacher Curl,Biceps,biceps,forearms,push
30-arms-seated-dumbbell-concentration-curl,30 Arms Seated Dumbbell Concentration Curl,Biceps,biceps,forearms,push
30-arms-seated-biceps-curl,30 Arms Seated Biceps Curl,Biceps,biceps,forearms,push
30-arms-seated-alternating-biceps-curl,30 Arms Seated Alternating Biceps Curl,Biceps,biceps,forearms,push
30-arms-incline-hammer-curl,30 Arms Incline Hammer Curl,Biceps,biceps,forearms,push
30-arms-incline-dumbbell-triceps-extension,30 Arms Incline Dumbbell Triceps Extension,Biceps,biceps,forearms,push
30-arms-hammer-curl,30 Arms Hammer Curl,Biceps,biceps,forearms,push
reverse-plate-curls,Reverse Plate Curls,Biceps,biceps,,push
standing-biceps-stretch,Standing Biceps Stretch,Biceps,biceps,,push
suspended-curl,Suspended Curl,Biceps,biceps,forearms,push
plate-hammer-curl,Plate hammer curl,Biceps,biceps,forearms,push
barbell-spider-curl,Barbell spider curl,Biceps,biceps,triceps;shoulders;forearms,push
barbell-forehead-curl,Barbell forehead curl,Biceps,biceps,forearms,push
overhead-cable-curl,Overhead cable curl,Biceps,biceps,triceps;upper_chest;forearms,push
standing-one-arm-cable-curl,Standing One-Arm Cable Curl,Biceps,biceps,forearms,push
reverse-cable-curl,Reverse Cable Curl,Biceps,biceps,forearms,push
standing-biceps-cable-curl,Standing Biceps Cable Curl,Biceps,biceps,forearms,push
cable-rope-hammer-curl,Cable rope hammer curl,Biceps,biceps,forearms,push
lying-cable-biceps-curl,Lying cable biceps curl,Biceps,biceps,triceps;shoulders;forearms,push
cable-rope-preacher-hammer-curl,Cable rope preacher hammer curl,Biceps,biceps,triceps;shoulders;forearms,push
lying-close-grip-bar-curl-on-high-pulley,Lying Close-Grip Bar Curl On High Pulley,Biceps,biceps,forearms,push
cable-ez-bar-preacher-curl-gethin-variation,Cable EZ-Bar Preacher Curl - Gethin Variation,Biceps,biceps,triceps;shoulders;forearms,push
squatting-cable-ez-bar-biceps-curl,Squatting cable EZ-bar biceps curl,Biceps,biceps,glutes;hamstrings;core,squat
cable-straight-bar-biceps-curl,Cable straight-bar biceps curl,Biceps,biceps,forearms,push
standing-reverse-grip-cable-curl,Standing reverse-grip cable curl,Biceps,biceps,forearms,push
lying-high-cable-biceps-curl,Lying high-cable biceps curl,Biceps,biceps,forearms,push
high-pulley-cable-curl-gethin-variation,High-Pulley Cable Curl - Gethin Variation,Biceps,biceps,triceps;upper_chest;forearms,push
standing-high-cable-curl-gethin-variation,Standing High Cable Curl - Gethin Variation,Biceps,biceps,forearms,push
high-cable-curls,High Cable Curls,Biceps,biceps,forearms,push
seated-cable-biceps-curl,Seated cable biceps curl,Biceps,biceps,forearms,push
lying-close-grip-bar-curl-on-high-pulley-gethin-variation,Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,Biceps,biceps,forearms,push
standing-cable-curl-gethin-variation,Standing Cable Curl - Gethin Variation,Biceps,biceps,forearms,push
double-arm-cable-biceps-curl,Double Arm Cable Biceps Curl,Biceps,biceps,forearms,push
am-cable-biceps-curl,AM Cable Biceps Curl,Biceps,biceps,forearms,push
single-arm-cable-biceps-curl,Single-arm cable biceps curl,Biceps,biceps,forearms,push
up-cable-curl-with-straight-bar,UP Cable Curl With Straight Bar,Biceps,biceps,forearms,push
30-arms-cable-rope-hammer-curl,30 Arms Cable Rope Hammer Curl,Biceps,biceps,forearms,push
30-arms-squatting-cable-straight-bar-curl,30 Arms Squatting Cable Straight-Bar Curl,Biceps,biceps,forearms,squat
30-arms-high-cable-curl,30 Arms High Cable Curl,Biceps,biceps,forearms,push
30-arms-cable-straight-bar-curl,30 Arms Cable Straight-Bar Curl,Biceps,biceps,forearms,push
30-arms-cable-concentration-curl,30 Arms Cable Concentration Curl,Biceps,biceps,forearms,push
30-arms-bfr-high-cable-curl,30 Arms BFR High Cable Curl,Biceps,biceps,forearms,push
bfr-cable-rope-hammer-curl,BFR cable rope hammer curl,Biceps,biceps,forearms,push
machine-bicep-curl,Machine Bicep Curl,Biceps,biceps,forearms,push
machine-preacher-curls,Machine Preacher Curls,Biceps,biceps,forearms,push
single-arm-machine-preacher-curl,Single-arm machine preacher curl,Biceps,biceps,forearms,push
machine-preacher-curl,Machine preacher curl,Biceps,biceps,forearms,push
smith-machine-drag-curl,Smith machine drag curl,Biceps,biceps,forearms,push
30-arms-bfr-machine-preacher-curl,30 Arms BFR Machine Preacher Curl,Biceps,biceps,forearms,push
seated-biceps,Seated Biceps,Biceps,biceps,,push
tbs-chin-up,TBS Chin-Up,Biceps,biceps,forearms,pull
pull-up-gethin-variation,Pull-up - Gethin Variation,Biceps,biceps,forearms,pull
un-pull-up-supinated,UN Pull-Up Supinated,Biceps,biceps,forearms,pull
un-pull-up-pronated,UN Pull-Up Pronated,Biceps,biceps,forearms,pull
un-pull-up-neutral,UN Pull-Up Neutral,Biceps,biceps,forearms,pull
ez-bar-curl,EZ-Bar Curl,Biceps,biceps,forearms,push
reverse-barbell-preacher-curls,Reverse Barbell Preacher Curls,Biceps,biceps,forearms,push
close-grip-ez-bar-curl-with-band,Close-Grip EZ-Bar Curl with Band,Biceps,biceps,forearms,push
standing-ez-bar-curl-gethin-variation,Standing EZ-Bar Curl - Gethin Variation,Biceps,biceps,forearms,push
tbs-ez-bar-curl,TBS EZ-Bar Curl,Biceps,biceps,forearms,push
standing-ez-bar-curl,Standing EZ-bar curl,Biceps,biceps,forearms,push
30-arms-standing-overhand-ez-bar-curl,30 Arms Standing Overhand EZ-Bar Curl,Biceps,biceps,forearms,push
30-arms-ez-bar-spider-curl,30 Arms EZ-Bar Spider Curl,Biceps,biceps,forearms,push
30-arms-ez-bar-preacher-curl,30 Arms EZ-Bar Preacher Curl,Biceps,biceps,forearms,push
30-arms-standing-ez-bar-curl,30 Arms Standing EZ-Bar Curl,Biceps,biceps,forearms,push
calf-raises-with-bands,Calf Raises - With Bands,Calves,calves,,push
peroneals-stretch,Peroneals Stretch,Calves,calves,,push
posterior-tibialis-stretch,Posterior Tibialis Stretch,Calves,calves,,push
calf-smr,Calf SMR,Calves,calves,,push
rocking-standing-calf-raise,Rocking Standing Calf Raise,Calves,calves,tibialis,push
standing-barbell-calf-raise,Standing barbell calf raise,Calves,calves,tibialis,push
barbell-seated-calf-raise,Barbell Seated Calf Raise,Calves,calves,tibialis,push
smith-machine-standing-calf-raise,Smith machine standing calf raise,Calves,calves,tibialis,push
calf-raise-on-a-dumbbell,Calf Raise On A Dumbbell,Calves,calves,tibialis,push
standing-dumbbell-calf-raise,Standing Dumbbell Calf Raise,Calves,calves,tibialis,push
single-leg-standing-dumbbell-calf-raise,Single-leg standing dumbbell calf raise,Calves,calves,tibialis,push
dumbbell-walking-calf-raise,Dumbbell walking calf raise,Calves,calves,tibialis,push
balance-board,Balance Board,Calves,calves,,push
weighted-donkey-calf-raise,Weighted donkey calf raise,Calves,calves,tibialis,push
anterior-tibialis-smr,Anterior Tibialis-SMR,Calves,calves,,push
foot-smr,Foot-SMR,Calves,calves,,push
agility-ladder,Agility Ladder,Calves,calves,,push
single-leg-machine-seated-calf-raise,Single-leg machine seated calf raise,Calves,calves,tibialis,push
smith-machine-calf-raise,Smith Machine Calf Raise,Calves,calves,tibialis,push
standing-calf-raises,Standing Calf Raises,Calves,calves,tibialis,push
seated-calf-raise,Seated Calf Raise,Calves,calves,tibialis,push
calf-press-on-the-leg-press-machine,Calf Press On The Leg Press Machine,Calves,calves,triceps;shoulders;glutes,push
calf-press,Calf Press,Calves,calves,triceps;shoulders;tibialis,push
smith-machine-reverse-calf-raises,Smith Machine Reverse Calf Raises,Calves,calves,,push
seated-single-leg-calf-press-gethin-variation,Seated Single-Leg Calf Press - Gethin Variation,Calves,calves,triceps;shoulders;tibialis,push
seated-calf-raise-gethin-variation,Seated Calf Raise - Gethin Variation,Calves,calves,tibialis,push
donkey-calf-raise-gethin-variation,Donkey Calf Raise - Gethin Variation,Calves,calves,tibialis,push
standing-calf-raise-facing-hack-squat-machine-gethin-variation,Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Calves,calves,glutes;hamstrings;core,squat
calf-press-on-a-hack-squat-machine-gethin-variation,Calf Press On A Hack Squat Machine - Gethin Variation,Calves,calves,triceps;shoulders;glutes,push
smith-machine-standing-calf-raises-gethin-variation,Smith Machine Standing Calf Raises - Gethin Variation,Calves,calves,tibialis,push
hack-squat-calf-raise,Hack squat calf raise,Calves,calves,glutes;hamstrings;core,squat
seated-calf-press-gethin-variation,Seated Calf Press - Gethin Variation,Calves,calves,triceps;shoulders;tibialis,push
leg-press-calf-raise,Leg press calf raise,Calves,calves,triceps;shoulders;glutes,push
machine-seated-calf-raise,Machine seated calf raise,Calves,calves,tibialis,push
30-legs-seated-calf-raise,30 Legs Seated Calf Raise,Calves,calves,tibialis,push
30-legs-standing-calf-raise,30 Legs Standing Calf Raise,Calves,calves,tibialis,push
peroneals-smr,Peroneals-SMR,Calves,calves,,push
knee-circles,Knee Circles,Calves,calves,,push
standing-gastrocnemius-calf-stretch,Standing Gastrocnemius Calf Stretch,Calves,calves,,push
wall-calf-stretch,Wall calf stretch,Calves,calves,,push
seated-calf-stretch,Seated Calf Stretch,Calves,calves,,push
standing-calf-raise,Standing Calf Raise,Calves,calves,tibialis,push
standing-calf-raise,Standing calf raise-,Calves,calves,tibialis,push
hm-left-calf-spike-sumo-pulse,HM Left Calf-Spike Sumo Pulse,Calves,calves,,push
ankle-circles,Ankle Circles,Calves,calves,,push
calf-stretch-elbows-against-wall,Calf Stretch Elbows Against Wall,Calves,calves,,push
standing-soleus-and-achilles-stretch,Standing Soleus And Achilles Stretch,Calves,calves,,push
cross-over-with-bands,Cross Over - With Bands,Chest,chest,,push
bench-press-with-bands,Bench Press - With Bands,Chest,chest,triceps;shoulders,push
bench-press-with-short-bands,Bench Press With Short Bands,Chest,chest,triceps;shoulders,push
feet-elevated-trx-push-up,Feet-Elevated TRX Push-Up,Chest,chest,triceps;shoulders,push
band-suspended-kettlebell-bench-press,Band-suspended kettlebell bench press,Chest,chest,triceps;shoulders,push
hm-banded-cross-over-pull,HM Banded Cross-Over Pull,Chest,chest,,push
rusin-band-pull-apart,Rusin Band Pull-Apart,Chest,chest,,push
uns-banded-push-up,UNS Banded Push-Up,Chest,chest,triceps;shoulders,push
taylor-band-assisted-one-arm-push-up,Taylor Band-Assisted One-Arm Push-Up,Chest,chest,triceps;shoulders,push
incline-band-bench-press,Incline band bench press,Chest,chest,triceps;shoulders,push
band-push-up,Band push-up,Chest,chest,triceps;shoulders,push
band-chest-fly,Band chest fly,Chest,chest,,push
close-grip-bench-press,Close-grip bench press,Chest,chest,triceps;shoulders,push
barbell-bench-press-medium-grip,Barbell Bench Press - Medium Grip,Chest,chest,triceps;shoulders,push
decline-barbell-bench-press,Decline barbell bench press,Chest,chest,triceps;shoulders,push
wide-grip-bench-press,Wide-grip bench press,Chest,chest,triceps;shoulders,push
wide-grip-decline-barbell-bench-press,Wide-Grip Decline Barbell Bench Press,Chest,chest,triceps;shoulders,push
barbell-incline-bench-press-medium-grip,Barbell Incline Bench Press Medium-Grip,Chest,chest,triceps;shoulders,push
neck-press,Neck Press,Chest,chest,triceps;shoulders,push
front-raise-and-pullover,Front Raise And Pullover,Chest,chest,,push
board-bench-press,Board bench press,Chest,chest,triceps;shoulders,push
barbell-bench-press-wide-grip,Barbell Bench Press-Wide Grip,Chest,chest,triceps;shoulders,push
wide-grip-decline-barbell-pullover,Wide-Grip Decline Barbell Pullover,Chest,chest,,push
barbell-guillotine-bench-press,Barbell Guillotine Bench Press,Chest,chest,triceps;shoulders,push
band-suspended-kettlebell-bench-press,Band-suspended kettlebell bench press,Chest,chest,triceps;shoulders,push
paul-carter-incline-bench-press,Paul Carter Incline Bench Press,Chest,chest,triceps;shoulders,push
incline-bench-press,Incline bench press,Chest,chest,triceps;shoulders,push
bench-press,Bench press,Chest,chest,triceps;shoulders,push
tbs-close-grip-bench-press,TBS Close-Grip Bench Press,Chest,chest,triceps;shoulders,push
am-flat-bench-barbell-press,AM Flat Bench Barbell Press,Chest,chest,triceps;shoulders,push
up-bench-press,UP Bench Press,Chest,chest,triceps;shoulders,push
up-close-grip-bench-press,UP Close-Grip Bench Press,Chest,chest,triceps;shoulders,push
king-maker-barbell-bench-press,King Maker Barbell Bench Press,Chest,chest,triceps;shoulders,push
king-maker-incline-barbell-bench-press,King Maker Incline Barbell Bench Press,Chest,chest,triceps;shoulders,push
30-chest-incline-barbell-bench-press,30 Chest Incline Barbell Bench Press,Chest,chest,triceps;shoulders,push
30-chest-barbell-bench-press,30 Chest Barbell Bench Press,Chest,chest,triceps;shoulders,push
30-chest-30-degree-incline-dumbbell-press,30 Chest 30-Degree Incline Dumbbell Press,Chest,chest,triceps;shoulders,push
spoto-press,Spoto press,Chest,chest,triceps;shoulders,push
kettlebell-plyo-push-up,Kettlebell plyo push-up,Chest,chest,triceps;shoulders,push
extended-range-one-arm-kettlebell-floor-press,Extended Range One-Arm Kettlebell Floor Press,Chest,chest,triceps;shoulders,push
kettlebell-alternating-floor-press,Kettlebell alternating floor press,Chest,chest,triceps;shoulders,push
one-arm-kettlebell-floor-press,One-Arm Kettlebell Floor Press,Chest,chest,triceps;shoulders,push
leg-over-floor-press,Leg-Over Floor Press,Chest,chest,triceps;shoulders,push
band-suspended-kettlebell-bench-press,Band-suspended kettlebell bench press,Chest,chest,triceps;shoulders,push
fyr2-push-up-to-kettlebell-hike-combo,FYR2 Push-Up to Kettlebell Hike Combo,Chest,chest,triceps;shoulders,push
pushups,Pushups,Chest,chest,triceps;shoulders,push
incline-push-up,Incline Push-Up,Chest,chest,triceps;shoulders,push
hands-elevated-push-up,Hands-elevated push-up,Chest,chest,triceps;shoulders,push
decline-push-up,Decline Push-Up,Chest,chest,triceps;shoulders,push
single-arm-push-up,Single-Arm Push-Up,Chest,chest,triceps;shoulders,push
close-push-up-to-wide-push-up,Close push-up to wide push-up,Chest,chest,triceps;shoulders,push
wide-grip-hands-elevated-push-up,Wide-grip hands-elevated push-up,Chest,chest,triceps;shoulders,push
push-ups-with-feet-on-an-exercise-ball,Push-Ups With Feet On An Exercise Ball,Chest,chest,,push
feet-elevated-push-up,Feet-elevated push-up,Chest,chest,triceps;shoulders,push
isometric-wipers,Isometric Wipers,Chest,chest,triceps;shoulders,push
clock-push-up,Clock push-up,Chest,chest,triceps;shoulders,push
incline-push-up-depth-jump,Incline Push-Up Depth Jump,Chest,chest,triceps;shoulders,push
push-up-wide,Push-Up Wide,Chest,chest,triceps;shoulders,push
sphinx-push-up,Sphinx push-up,Chest,chest,triceps;shoulders,push
close-hands-push-up,Close-Hands Push-Up,Chest,chest,triceps;shoulders,push
tiger-bend-push-up,Tiger-bend push-up,Chest,chest,triceps;shoulders,push
plyo-push-up,Plyo push-up,Chest,chest,triceps;shoulders,push
close-grip-hands-elevated-push-up,Close-grip hands-elevated push-up,Chest,chest,triceps;shoulders,push
suspended-push-up,Suspended push-up,Chest,chest,triceps;shoulders,push
push-up-to-side-plank,Push Up to Side Plank,Chest,chest,triceps;shoulders;obliques,push
isometric-chest-squeezes,Isometric Chest Squeezes,Chest,chest,,push
side-to-side-push-up,Side-to-side push-up,Chest,chest,triceps;shoulders,push
typewriter-push-up,Typewriter push-up,Chest,chest,triceps;shoulders,push
diamond-push-up,Diamond push-up,Chest,chest,triceps;shoulders,push
judo-push-up,Judo push-up,Chest,chest,triceps;shoulders,push
superman-push-up,Superman Push-Up,Chest,chest,triceps;shoulders,push
wide-push-up,Wide push-up,Chest,chest,triceps;shoulders,push
one-arm-push-up,One-Arm Push-Up,Chest,chest,triceps;shoulders,push
